BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
1402;Bezirk Reiat;14;5;3933;689334;697701;283013;295142;693300;289300;391;705;531;517;2689334;2697701;1283013;1295142;2693300;1289300
1403;Bezirk Schaffhausen;14;5;10573;682371;695086;267448;295934;687100;285100;343;912;563;533;2682371;2695086;1267448;1295934;2687100;1285100
1404;Bezirk Schleitheim;14;5;4363;675847;684831;284259;293269;680700;289100;445;911;613;581;2675847;2684831;1284259;1293269;2680700;1289100
1405;Bezirk Stein;14;5;3097;699872;707983;278679;288416;704100;283600;393;685;461;430;2699872;2707983;1278679;1288416;2704100;1283600
1406;Bezirk Unterklettgau;14;5;4661;672515;682346;276929;287127;676700;281800;389;642;484;481;2672515;2682346;1276929;1287127;2676700;1281800
1501;Bezirk Hinterland;15;5;13616;732375;745548;234615;251775;739000;244000;588;2501;963;914;2732375;2745548;1234615;1251775;2739000;1244000
1502;Bezirk Mittelland;15;5;6027;743497;756531;245930;255666;751300;250400;566;1250;936;937;2743497;2756531;1245930;1255666;2751300;1250400
1503;Bezirk Vorderland;15;5;4641;751877;765346;251659;259712;758300;255900;431;1129;822;831;2751877;2765346;1251659;1259712;2758300;1255900
1600;Kanton Appenzell Innerrhoden;16;5;17248;741442;764416;233274;257039;749500;242500;540;2502;1129;1029;2741442;2764416;1233274;1257039;2749500;1242500
1721;Wahlkreis St. Gallen;17;5;15767;733811;757775;251007;266282;742800;256800;450;1074;670;653;2733811;2757775;1251007;1266282;2742800;1256800
1722;Wahlkreis Rorschach;17;5;5046;745564;761628;256279;263669;753300;259900;392;899;510;491;2745564;2761628;1256279;1263669;2753300;1259900
1723;Wahlkreis Rheintal;17;5;13894;754722;768769;237425;261716;761100;248100;395;1794;531;425;2754722;2768769;1237425;1261716;2761100;1248100
1724;Wahlkreis Werdenberg;17;5;20651;742483;758284;214560;238919;751800;225900;426;2383;993;877;2742483;2758284;1214560;1238919;2751800;1225900
1725;Wahlkreis Sarganserland;17;5;51774;729149;760298;193269;224325;745200;208800;419;3234;1493;1549;2729149;2760298;1193269;1224325;2745200;1208800
1726;Wahlkreis See-Gaster;17;5;24586;702742;736398;221154;242100;720500;230300;392;2101;822;751;2702742;2736398;1221154;1242100;2720500;1230300
1727;Wahlkreis Toggenburg;17;5;48859;713649;748651;223061;256076;729700;238900;521;2501;999;907;2713649;2748651;1223061;1256076;2729700;1238900
1728;Wahlkreis Wil;17;5;14523;717951;736250;245594;262913;728600;256100;470;1060;606;583;2717951;2736250;1245594;1262913;2728600;1256100
1841;Region Albula;18;5;68351;756737;787565;141614;182239;769400;163400;720;3416;2091;2167;2756737;2787565;1141614;1182239;2769400;1163400
1842;Region Bernina;18;5;23731;793642;811070;121818;146806;802700;134700;515;3898;2041;2115;2793642;2811070;1121818;1146806;2802700;1134700
1843;Region Engiadina Bassa / Val Müstair;18;5;119655;790566;833842;157707;209715;815400;181500;988;3408;2245;2308;2790566;2833842;1157707;1209715;2815400;1181500
1844;Region Imboden;18;5;20380;735216;757142;180802;197720;746600;190200;556;3243;1537;1445;2735216;2757142;1180802;1197720;2746600;1190200
1845;Region Landquart;18;5;17467;754561;768915;191829;214817;761600;203400;478;2804;1171;1051;2754561;2768915;1191829;1214817;2761600;1203400
1846;Region Maloja;18;5;97365;755110;804058;128432;174706;783600;149600;665;4048;2392;2448;2755110;2804058;1128432;1174706;2783600;1149600
1847;Region Moesa;18;5;49606;724447;743278;114571;154076;733800;134700;253;3281;1727;1803;2724447;2743278;1114571;1154076;2733800;1134700
1848;Region Plessur;18;5;28530;753603;780693;177795;196888;766700;187400;537;2979;1713;1795;2753603;2780693;1177795;1196888;2766700;1187400
1849;Region Prättigau / Davos;18;5;85340;763746;802712;171440;214786;781400;193200;561;3296;1908;1959;2763746;2802712;1171440;1214786;2781400;1193200
1850;Region Surselva;18;5;137356;692838;748348;150436;194955;723000;172700;616;3612;1970;2028;2692838;2748348;1150436;1194955;2723000;1172700
1851;Region Viamala;18;5;62758;722861;767117;138908;186521;750200;161300;600;3399;1960;2035;2722861;2767117;1138908;1186521;2750200;1161300
1901;Bezirk Aarau;19;3;10449;639584;653234;240057;257519;647100;248700;356;908;488;458;2639584;2653234;1240057;1257519;2647100;1248700
1902;Bezirk Baden;19;3;15309;658690;675607;247075;266682;665400;256100;325;859;464;438;2658690;2675607;1247075;1266682;2665400;1256100
1903;Bezirk Bremgarten;19;3;11747;658423;676827;237887;251434;666400;244500;346;741;486;474;2658423;2676827;1237887;1251434;2666400;1244500
